mydate,cday,dday,ma
2020-10-17,36,0,39.857142857142854
2020-10-18,36,1,39.57142857142857
2020-10-19,33,0,39.0
2020-10-20,41,0,40.0
2020-10-21,43,0,42.285714285714285
2020-10-22,84,0,45.142857142857146
2020-10-23,61,1,47.714285714285715
2020-10-24,88,1,55.142857142857146
2020-10-25,65,0,59.285714285714285
2020-10-26,37,1,59.857142857142854
2020-10-27,65,0,63.285714285714285
2020-10-28,54,0,64.85714285714286
2020-10-29,105,0,67.85714285714286
2020-10-30,83,0,71.0
2020-10-31,86,0,70.71428571428571
2020-11-01,73,0,71.85714285714286
2020-11-02,71,0,76.71428571428571
2020-11-03,103,1,82.14285714285714
2020-11-04,89,0,87.14285714285714
2020-11-05,136,0,91.57142857142857
2020-11-06,166,1,103.42857142857143
2020-11-07,124,0,108.85714285714286
2020-11-08,150,0,119.85714285714286
2020-11-09,170,1,134.0
2020-11-10,175,3,144.28571428571428
2020-11-11,238,3,165.57142857142858
2020-11-12,298,1,188.71428571428572
2020-11-13,305,0,208.57142857142858
2020-11-14,251,0,226.71428571428572
2020-11-15,309,0,249.42857142857142
2020-11-16,234,0,258.57142857142856
2020-11-17,216,0,264.42857142857144
2020-11-18,224,5,262.42857142857144
2020-11-19,379,5,274.0
2020-11-20,337,4,278.57142857142856
2020-11-21,323,6,288.85714285714283
2020-11-22,324,1,291.0
2020-11-23,279,1,297.42857142857144
2020-11-24,223,2,298.42857142857144
2020-11-25,286,8,307.2857142857143
2020-11-26,455,4,318.14285714285717
2020-11-27,365,0,322.14285714285717
2020-11-28,433,2,337.85714285714283
2020-11-29,269,4,330.0
2020-11-30,283,1,330.57142857142856
2020-12-01,227,14,331.14285714285717
2020-12-02,386,11,345.42857142857144
2020-12-03,642,7,372.14285714285717
2020-12-04,699,5,419.85714285714283
2020-12-05,493,2,428.42857142857144
2020-12-06,493,1,460.42857142857144
2020-12-07,548,0,498.2857142857143
2020-12-08,386,8,521.0
2020-12-09,332,15,513.2857142857143
2020-12-10,612,11,509.0
