mydate,cday,dday,ma
2021-01-12,164,15,213.0
2021-01-13,167,0,208.14285714285714
2021-01-14,164,0,192.71428571428572
2021-01-15,151,0,175.0
2021-01-16,131,0,155.85714285714286
2021-01-17,106,0,141.14285714285714
2021-01-18,73,0,136.57142857142858
2021-01-19,118,1,130.0
2021-01-20,124,16,123.85714285714286
2021-01-21,164,0,123.85714285714286
2021-01-22,133,1,121.28571428571429
2021-01-23,104,0,117.42857142857143
2021-01-24,103,0,117.0
2021-01-25,65,0,115.85714285714286
2021-01-26,63,11,108.0
2021-01-27,68,0,100.0
2021-01-28,54,0,84.28571428571429
2021-01-29,94,0,78.71428571428571
2021-01-30,100,0,78.14285714285714
2021-01-31,85,0,75.57142857142857
2021-02-01,40,0,72.0
2021-02-02,35,31,68.0
2021-02-03,73,1,68.71428571428571
2021-02-04,77,0,72.0
2021-02-05,74,0,69.14285714285714
2021-02-06,61,2,63.57142857142857
2021-02-07,33,0,56.142857142857146
2021-02-08,36,0,55.57142857142857
2021-02-09,34,1,55.42857142857143
2021-02-10,129,0,63.42857142857143
2021-02-11,102,15,67.0
2021-02-12,84,1,68.42857142857143
2021-02-13,59,0,68.14285714285714
2021-02-14,57,0,71.57142857142857
2021-02-15,51,0,73.71428571428571
2021-02-16,47,0,75.57142857142857
2021-02-17,34,1,62.0
2021-02-18,47,9,54.142857142857146
2021-02-19,12,0,43.857142857142854
2021-02-20,35,0,40.42857142857143
2021-02-21,34,0,37.142857142857146
2021-02-22,30,0,34.142857142857146
2021-02-23,27,8,31.285714285714285
2021-02-24,25,0,30.0
2021-02-25,78,0,34.42857142857143
2021-02-26,16,0,35.0
2021-02-27,31,0,34.42857142857143
2021-02-28,34,0,34.42857142857143
2021-03-01,18,0,32.714285714285715
2021-03-02,12,0,30.571428571428573
2021-03-03,28,15,31.0
2021-03-04,31,0,24.285714285714285
2021-03-05,29,0,26.142857142857142
2021-03-06,15,0,23.857142857142858
2021-03-07,19,0,21.714285714285715
2021-03-08,31,0,23.571428571428573
2021-03-09,11,8,23.428571428571427
2021-03-10,19,0,22.142857142857142
2021-03-11,6899,0,1003.2857142857143
2021-03-12,64,0,1008.2857142857143
2021-03-13,74,0,1016.7142857142857
2021-03-14,68,0,1023.7142857142857
2021-03-15,47,0,1026.0
2021-03-16,58,0,1032.7142857142858
2021-03-17,56,0,1038.0
2021-03-18,60,0,61.0
2021-03-19,46,0,58.42857142857143
2021-03-20,66,0,57.285714285714285
2021-03-21,51,0,54.857142857142854
2021-03-22,24,0,51.57142857142857
2021-03-23,52,1,50.714285714285715
2021-03-24,62,0,51.57142857142857
2021-03-25,76,0,53.857142857142854
